ID,Base Product,Category,Popular Brands,Search Variations,Misspellings/Regional,Popularity Index (1-100)
22,Rajma (Chitra),Lentils & Pulses,"TRS, Heera, Annam",Speckled kidney beans,Rajmah,70
23,Moong Whole,Lentils & Pulses,"TRS, Heera, Annam",Green gram whole,Moong sabut,95
24,Turmeric Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch, Shakti","Haldi, Curcumin","Tumeric, Haldee",81
25,Red Chili Powder,Spices & Masalas,"MDH, Everest, TRS, Shan, Catch","Mirch, Spicy powder, Lal mirch","Chilly, Chilli",70
26,Kashmiri Mirch Powder,Spices & Masalas,"Everest, MDH, TRS, Catch","Mild chili, Red color powder",Kashmiri chilli,79
27,Garam Masala,Spices & Masalas,"MDH, Everest, TRS, Shan, MTR, Badshah","Curry spice mix, Warm spice","Garam masla, Gharam",71
28,Coriander Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch",Dhaniya powder,"Coriender, Dhanya",93
29,Cumin Seeds,Spices & Masalas,"TRS, Heera, Annam, MDH",Jeera whole,"Zeera, Jera",84
30,Mustard Seeds (Black),Spices & Masalas,"TRS, Heera, Annam","Rai, Sarson","Musterd, Rai",95
31,Sambar Masala,Spices & Masalas,"MTR, Aachi, Everest, Eastern, 777",Sambar powder,"Sambhar, Sambar podi",70
32,Biryani Masala,Spices & Masalas,"Shan, MDH, Lucky, Everest, Ahmed",Biryani rice spice,"Biriyani, Briyani",71
33,Kitchen King Masala,Spices & Masalas,"MDH, Everest, Badshah",All purpose spice mix,Kitchen king,83
34,Chana Masala,Spices & Masalas,"MDH, Everest, Shan, Catch",Chole masala,Channa masala,70
35,Pav Bhaji Masala,Spices & Masalas,"Everest, MDH, Badshah",Bhaji spice,Paav bhaji,78
36,Chicken Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Poultry spice,Chiken masala,90
37,Meat Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Mutton/Meat spice,Meet masala,93
38,Aloo Bhujia,Snacks & Sweets,"Haldiram's, Bikano, Heera, Bikaji","Potato sev, Namkeen","Alu bhujia, Haldirams",40
39,Moong Dal Snack,Snacks & Sweets,"Haldiram's, Bikano, Bikaji",Fried moong lentils,Mung snack,71
40,Khatta Meetha,Snacks & Sweets,"Haldiram's, Bikano, Heera",Sweet and sour mix,Katta metha,65
41,Bhujia Sev,Snacks & Sweets,"Haldiram's, Bikaji, Bikano",Fine spicy sev,Bhujiya,60
42,Parle-G,Snacks & Sweets,Parle,Milk glucose biscuits,"Parleg, Parlay",72
43,Good Day Cashew,Snacks & Sweets,Britannia,Cashew butter cookies,Gud day,42
44,Hide & Seek,Snacks & Sweets,Parle,Chocolate chip cookies,Hide n seek,48
45,Marie Gold,Snacks & Sweets,Britannia,Tea biscuits,Mari gold,55
46,Bourbon Biscuits,Snacks & Sweets,"Britannia, Parle",Choco cream biscuits,Burbon,46
47,Gulab Jamun Mix,Snacks & Sweets,"Gits, MTR, Bambino",Milk solid sweet mix,Gulab jamon,73
48,Soan Papdi,Snacks & Sweets,"Haldiram's, Bikano",Flaky sweet dessert,Son papdi,79
49,Pure Desi Ghee,"Oils, Ghee & Condiments","Amul, Khanum, KTC, Nanak, Kheer","Clarified butter, Pure ghee","Ghi, Ghe",63
50,Mustard Oil,"Oils, Ghee & Condiments","Fortune, KTC, P&B, Engine",Sarson ka tel,Musterd oil,54
51,Coconut Oil (Edible),"Oils, Ghee & Condiments","Parachute, KTC, Heera, KPL Shudhi",Nariyal tel,Cocanut oil,79
52,Mango Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka, Patak's",Aam ka achar,"Mango pikkle, Achar",72
53,Mixed Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka",Mixed veg pickle,Mix achar,67
54,Ginger Garlic Paste,"Oils, Ghee & Condiments","Mother's Recipe, Priya, TRS, Heera",Adrak lasun paste,GG paste,79
55,Tamarind Paste,"Oils, Ghee & Condiments","TRS, Tamicon, Heera",Imli paste,Tamrind,49
56,Paneer,Ready to Eat & Frozen,"Amul, Nanak, Ayurveda, Vadilal, Ashoka",Cottage cheese,"Panir, Panneer",65
57,Mixed Veg Frozen,Ready to Eat & Frozen,"Vadilal, Ashoka, Daily Delight",Frozen vegetables,Mixed veg,48
58,Aloo Paratha (Frozen),Ready to Eat & Frozen,"Vadilal, Haldiram's, Ashoka, Shana",Stuffed bread,Parata,69
59,Dal Makhani (RTE),Ready to Eat & Frozen,"MTR, Ashoka, Kitchens of India",Heat and eat lentils,Daal makhni,59
60,Idli Batter,Ready to Eat & Frozen,"ID Fresh, Shastha, Annam",Fermented batter,Idly batter,53
61,Chakki Atta,Staples (Flours & Grains),"Aashirvaad, Pillsbury, Fortune, Elephant, Heera, Annapurna","Wheat flour, Roti flour, Whole wheat","Ashirwad, Aata, Atte",96
62,Maida,Staples (Flours & Grains),"TRS, Heera, Annam, KTC","All purpose flour, Plain flour","Mayda, Maida flour",99
63,Besan,Staples (Flours & Grains),"TRS, Heera, Annam, Laxmi, KTC","Gram flour, Chickpea flour","Baisan, Basin, Besun",88
64,Sooji (Coarse),Staples (Flours & Grains),"TRS, Heera, Annam, Natco","Semolina, Rava, Rawa","Suji, Sheera",92
65,Sooji (Fine),Staples (Flours & Grains),"TRS, Heera, Annam","Fine semolina, Rava fine","Suji fine, Rawa fine",100
66,Rice Flour,Staples (Flours & Grains),"Annam, TRS, Heera","Chawal ka atta, Rice powder",Arisi maavu,87
67,Bajra Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Pearl millet flour,Bajari,94
68,Jowar Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Sorghum flour,Jovar,90
69,Basmati Rice (Extra Long),Rice,"Tilda, India Gate, Daawat, Kohinoor, Akash, Laila","Long grain rice, Biryani rice, Aged rice","Basmathi, Bismati, Chawal",92
70,Sona Masoori Rice,Rice,"India Gate, 9Grains, Annam, Royal, TRS, Heera","South Indian rice, Short grain, Ponni","Sona Masuri, Masuri rice",97
71,Idli Rice,Rice,"Annam, TRS, Heera, Ponni","Short grain, Steamed rice","Idly rice, Arisi",86
72,Matta Rice,Rice,"Nirapara, Heera, Annam, Double Horse","Red rice, Kerala rice, Palakkadan",Mata rice,100
73,Poha (Thick),Rice,"TRS, Heera, Annam, Natco","Flattened rice, Beaten rice","Powwa, Aval, Atukulu",92
74,Poha (Thin),Rice,"TRS, Heera, Annam",Thin flattened rice,Pauwa thin,86
75,Toor Dal,Lentils & Pulses,"TRS, Heera, Annam, Chitalya, East End","Arhar dal, Split pigeon peas, Yellow lentils","Tur dal, Thoor, Thuvaram",74
76,Moong Dal (Yellow),Lentils & Pulses,"TRS, Heera, Annam, Chitalya","Split mung beans, Yellow mung","Mong dal, Mung",88
77,Chana Dal,Lentils & Pulses,"TRS, Heera, Annam, East End","Bengal gram, Split chickpeas","Channa dal, Kadalai paruppu",77
78,Urad Dal (White Gota),Lentils & Pulses,"TRS, Heera, Annam, Natco","Black gram whole, White urad","Urrad, Urid, Ulutham",79
79,Masoor Dal (Red),Lentils & Pulses,"TRS, Heera, Annam, East End",Red lentils split,"Masur dal, Mussoor",94
80,Kala Chana,Lentils & Pulses,"TRS, Heera, Annam",Black chickpeas whole,"Kala channa, Kadala",87
81,Kabuli Chana,Lentils & Pulses,"TRS, Heera, Annam","Chickpeas, Garbanzo beans","Chole, Channa",79
82,Rajma (Chitra),Lentils & Pulses,"TRS, Heera, Annam",Speckled kidney beans,Rajmah,90
83,Moong Whole,Lentils & Pulses,"TRS, Heera, Annam",Green gram whole,Moong sabut,82
84,Turmeric Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch, Shakti","Haldi, Curcumin","Tumeric, Haldee",72
85,Red Chili Powder,Spices & Masalas,"MDH, Everest, TRS, Shan, Catch","Mirch, Spicy powder, Lal mirch","Chilly, Chilli",73
86,Kashmiri Mirch Powder,Spices & Masalas,"Everest, MDH, TRS, Catch","Mild chili, Red color powder",Kashmiri chilli,79
87,Garam Masala,Spices & Masalas,"MDH, Everest, TRS, Shan, MTR, Badshah","Curry spice mix, Warm spice","Garam masla, Gharam",86
88,Coriander Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch",Dhaniya powder,"Coriender, Dhanya",82
89,Cumin Seeds,Spices & Masalas,"TRS, Heera, Annam, MDH",Jeera whole,"Zeera, Jera",76
90,Mustard Seeds (Black),Spices & Masalas,"TRS, Heera, Annam","Rai, Sarson","Musterd, Rai",70
91,Sambar Masala,Spices & Masalas,"MTR, Aachi, Everest, Eastern, 777",Sambar powder,"Sambhar, Sambar podi",76
92,Biryani Masala,Spices & Masalas,"Shan, MDH, Lucky, Everest, Ahmed",Biryani rice spice,"Biriyani, Briyani",83
93,Kitchen King Masala,Spices & Masalas,"MDH, Everest, Badshah",All purpose spice mix,Kitchen king,83
94,Chana Masala,Spices & Masalas,"MDH, Everest, Shan, Catch",Chole masala,Channa masala,89
95,Pav Bhaji Masala,Spices & Masalas,"Everest, MDH, Badshah",Bhaji spice,Paav bhaji,71
96,Chicken Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Poultry spice,Chiken masala,91
97,Meat Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Mutton/Meat spice,Meet masala,72
98,Aloo Bhujia,Snacks & Sweets,"Haldiram's, Bikano, Heera, Bikaji","Potato sev, Namkeen","Alu bhujia, Haldirams",42
99,Moong Dal Snack,Snacks & Sweets,"Haldiram's, Bikano, Bikaji",Fried moong lentils,Mung snack,40
100,Khatta Meetha,Snacks & Sweets,"Haldiram's, Bikano, Heera",Sweet and sour mix,Katta metha,71
101,Bhujia Sev,Snacks & Sweets,"Haldiram's, Bikaji, Bikano",Fine spicy sev,Bhujiya,73
102,Parle-G,Snacks & Sweets,Parle,Milk glucose biscuits,"Parleg, Parlay",74
103,Good Day Cashew,Snacks & Sweets,Britannia,Cashew butter cookies,Gud day,61
104,Hide & Seek,Snacks & Sweets,Parle,Chocolate chip cookies,Hide n seek,64
105,Marie Gold,Snacks & Sweets,Britannia,Tea biscuits,Mari gold,48
106,Bourbon Biscuits,Snacks & Sweets,"Britannia, Parle",Choco cream biscuits,Burbon,62
107,Gulab Jamun Mix,Snacks & Sweets,"Gits, MTR, Bambino",Milk solid sweet mix,Gulab jamon,69
108,Soan Papdi,Snacks & Sweets,"Haldiram's, Bikano",Flaky sweet dessert,Son papdi,41
109,Pure Desi Ghee,"Oils, Ghee & Condiments","Amul, Khanum, KTC, Nanak, Kheer","Clarified butter, Pure ghee","Ghi, Ghe",56
110,Mustard Oil,"Oils, Ghee & Condiments","Fortune, KTC, P&B, Engine",Sarson ka tel,Musterd oil,46
111,Coconut Oil (Edible),"Oils, Ghee & Condiments","Parachute, KTC, Heera, KPL Shudhi",Nariyal tel,Cocanut oil,56
112,Mango Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka, Patak's",Aam ka achar,"Mango pikkle, Achar",51
113,Mixed Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka",Mixed veg pickle,Mix achar,75
114,Ginger Garlic Paste,"Oils, Ghee & Condiments","Mother's Recipe, Priya, TRS, Heera",Adrak lasun paste,GG paste,75
115,Tamarind Paste,"Oils, Ghee & Condiments","TRS, Tamicon, Heera",Imli paste,Tamrind,71
116,Paneer,Ready to Eat & Frozen,"Amul, Nanak, Ayurveda, Vadilal, Ashoka",Cottage cheese,"Panir, Panneer",40
117,Mixed Veg Frozen,Ready to Eat & Frozen,"Vadilal, Ashoka, Daily Delight",Frozen vegetables,Mixed veg,75
118,Aloo Paratha (Frozen),Ready to Eat & Frozen,"Vadilal, Haldiram's, Ashoka, Shana",Stuffed bread,Parata,58
119,Dal Makhani (RTE),Ready to Eat & Frozen,"MTR, Ashoka, Kitchens of India",Heat and eat lentils,Daal makhni,60
120,Idli Batter,Ready to Eat & Frozen,"ID Fresh, Shastha, Annam",Fermented batter,Idly batter,73
121,Chakki Atta,Staples (Flours & Grains),"Aashirvaad, Pillsbury, Fortune, Elephant, Heera, Annapurna","Wheat flour, Roti flour, Whole wheat","Ashirwad, Aata, Atte",85
122,Maida,Staples (Flours & Grains),"TRS, Heera, Annam, KTC","All purpose flour, Plain flour","Mayda, Maida flour",89
123,Besan,Staples (Flours & Grains),"TRS, Heera, Annam, Laxmi, KTC","Gram flour, Chickpea flour","Baisan, Basin, Besun",100
124,Sooji (Coarse),Staples (Flours & Grains),"TRS, Heera, Annam, Natco","Semolina, Rava, Rawa","Suji, Sheera",97
125,Sooji (Fine),Staples (Flours & Grains),"TRS, Heera, Annam","Fine semolina, Rava fine","Suji fine, Rawa fine",95
126,Rice Flour,Staples (Flours & Grains),"Annam, TRS, Heera","Chawal ka atta, Rice powder",Arisi maavu,94
127,Bajra Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Pearl millet flour,Bajari,93
128,Jowar Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Sorghum flour,Jovar,99
129,Basmati Rice (Extra Long),Rice,"Tilda, India Gate, Daawat, Kohinoor, Akash, Laila","Long grain rice, Biryani rice, Aged rice","Basmathi, Bismati, Chawal",96
130,Sona Masoori Rice,Rice,"India Gate, 9Grains, Annam, Royal, TRS, Heera","South Indian rice, Short grain, Ponni","Sona Masuri, Masuri rice",85
131,Idli Rice,Rice,"Annam, TRS, Heera, Ponni","Short grain, Steamed rice","Idly rice, Arisi",95
132,Matta Rice,Rice,"Nirapara, Heera, Annam, Double Horse","Red rice, Kerala rice, Palakkadan",Mata rice,90
133,Poha (Thick),Rice,"TRS, Heera, Annam, Natco","Flattened rice, Beaten rice","Powwa, Aval, Atukulu",97
134,Poha (Thin),Rice,"TRS, Heera, Annam",Thin flattened rice,Pauwa thin,88
135,Toor Dal,Lentils & Pulses,"TRS, Heera, Annam, Chitalya, East End","Arhar dal, Split pigeon peas, Yellow lentils","Tur dal, Thoor, Thuvaram",93
136,Moong Dal (Yellow),Lentils & Pulses,"TRS, Heera, Annam, Chitalya","Split mung beans, Yellow mung","Mong dal, Mung",94
137,Chana Dal,Lentils & Pulses,"TRS, Heera, Annam, East End","Bengal gram, Split chickpeas","Channa dal, Kadalai paruppu",90
138,Urad Dal (White Gota),Lentils & Pulses,"TRS, Heera, Annam, Natco","Black gram whole, White urad","Urrad, Urid, Ulutham",78
139,Masoor Dal (Red),Lentils & Pulses,"TRS, Heera, Annam, East End",Red lentils split,"Masur dal, Mussoor",87
140,Kala Chana,Lentils & Pulses,"TRS, Heera, Annam",Black chickpeas whole,"Kala channa, Kadala",84
141,Kabuli Chana,Lentils & Pulses,"TRS, Heera, Annam","Chickpeas, Garbanzo beans","Chole, Channa",78
142,Rajma (Chitra),Lentils & Pulses,"TRS, Heera, Annam",Speckled kidney beans,Rajmah,85
143,Moong Whole,Lentils & Pulses,"TRS, Heera, Annam",Green gram whole,Moong sabut,72
144,Turmeric Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch, Shakti","Haldi, Curcumin","Tumeric, Haldee",86
145,Red Chili Powder,Spices & Masalas,"MDH, Everest, TRS, Shan, Catch","Mirch, Spicy powder, Lal mirch","Chilly, Chilli",84
146,Kashmiri Mirch Powder,Spices & Masalas,"Everest, MDH, TRS, Catch","Mild chili, Red color powder",Kashmiri chilli,84
147,Garam Masala,Spices & Masalas,"MDH, Everest, TRS, Shan, MTR, Badshah","Curry spice mix, Warm spice","Garam masla, Gharam",76
148,Coriander Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch",Dhaniya powder,"Coriender, Dhanya",82
149,Cumin Seeds,Spices & Masalas,"TRS, Heera, Annam, MDH",Jeera whole,"Zeera, Jera",82
150,Mustard Seeds (Black),Spices & Masalas,"TRS, Heera, Annam","Rai, Sarson","Musterd, Rai",95
151,Sambar Masala,Spices & Masalas,"MTR, Aachi, Everest, Eastern, 777",Sambar powder,"Sambhar, Sambar podi",79
152,Biryani Masala,Spices & Masalas,"Shan, MDH, Lucky, Everest, Ahmed",Biryani rice spice,"Biriyani, Briyani",93
153,Kitchen King Masala,Spices & Masalas,"MDH, Everest, Badshah",All purpose spice mix,Kitchen king,70
154,Chana Masala,Spices & Masalas,"MDH, Everest, Shan, Catch",Chole masala,Channa masala,72
155,Pav Bhaji Masala,Spices & Masalas,"Everest, MDH, Badshah",Bhaji spice,Paav bhaji,91
156,Chicken Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Poultry spice,Chiken masala,86
157,Meat Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Mutton/Meat spice,Meet masala,88
158,Aloo Bhujia,Snacks & Sweets,"Haldiram's, Bikano, Heera, Bikaji","Potato sev, Namkeen","Alu bhujia, Haldirams",77
159,Moong Dal Snack,Snacks & Sweets,"Haldiram's, Bikano, Bikaji",Fried moong lentils,Mung snack,54
160,Khatta Meetha,Snacks & Sweets,"Haldiram's, Bikano, Heera",Sweet and sour mix,Katta metha,82
161,Bhujia Sev,Snacks & Sweets,"Haldiram's, Bikaji, Bikano",Fine spicy sev,Bhujiya,63
162,Parle-G,Snacks & Sweets,Parle,Milk glucose biscuits,"Parleg, Parlay",81
163,Good Day Cashew,Snacks & Sweets,Britannia,Cashew butter cookies,Gud day,47
164,Hide & Seek,Snacks & Sweets,Parle,Chocolate chip cookies,Hide n seek,59
165,Marie Gold,Snacks & Sweets,Britannia,Tea biscuits,Mari gold,57
166,Bourbon Biscuits,Snacks & Sweets,"Britannia, Parle",Choco cream biscuits,Burbon,70
167,Gulab Jamun Mix,Snacks & Sweets,"Gits, MTR, Bambino",Milk solid sweet mix,Gulab jamon,46
168,Soan Papdi,Snacks & Sweets,"Haldiram's, Bikano",Flaky sweet dessert,Son papdi,66
169,Pure Desi Ghee,"Oils, Ghee & Condiments","Amul, Khanum, KTC, Nanak, Kheer","Clarified butter, Pure ghee","Ghi, Ghe",53
170,Mustard Oil,"Oils, Ghee & Condiments","Fortune, KTC, P&B, Engine",Sarson ka tel,Musterd oil,73
171,Coconut Oil (Edible),"Oils, Ghee & Condiments","Parachute, KTC, Heera, KPL Shudhi",Nariyal tel,Cocanut oil,69
172,Mango Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka, Patak's",Aam ka achar,"Mango pikkle, Achar",68
173,Mixed Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka",Mixed veg pickle,Mix achar,73
174,Ginger Garlic Paste,"Oils, Ghee & Condiments","Mother's Recipe, Priya, TRS, Heera",Adrak lasun paste,GG paste,73
175,Tamarind Paste,"Oils, Ghee & Condiments","TRS, Tamicon, Heera",Imli paste,Tamrind,73
176,Paneer,Ready to Eat & Frozen,"Amul, Nanak, Ayurveda, Vadilal, Ashoka",Cottage cheese,"Panir, Panneer",73
177,Mixed Veg Frozen,Ready to Eat & Frozen,"Vadilal, Ashoka, Daily Delight",Frozen vegetables,Mixed veg,53
178,Aloo Paratha (Frozen),Ready to Eat & Frozen,"Vadilal, Haldiram's, Ashoka, Shana",Stuffed bread,Parata,56
179,Dal Makhani (RTE),Ready to Eat & Frozen,"MTR, Ashoka, Kitchens of India",Heat and eat lentils,Daal makhni,79
180,Idli Batter,Ready to Eat & Frozen,"ID Fresh, Shastha, Annam",Fermented batter,Idly batter,43
181,Chakki Atta,Staples (Flours & Grains),"Aashirvaad, Pillsbury, Fortune, Elephant, Heera, Annapurna","Wheat flour, Roti flour, Whole wheat","Ashirwad, Aata, Atte",92
182,Maida,Staples (Flours & Grains),"TRS, Heera, Annam, KTC","All purpose flour, Plain flour","Mayda, Maida flour",95
183,Besan,Staples (Flours & Grains),"TRS, Heera, Annam, Laxmi, KTC","Gram flour, Chickpea flour","Baisan, Basin, Besun",89
184,Sooji (Coarse),Staples (Flours & Grains),"TRS, Heera, Annam, Natco","Semolina, Rava, Rawa","Suji, Sheera",95
185,Sooji (Fine),Staples (Flours & Grains),"TRS, Heera, Annam","Fine semolina, Rava fine","Suji fine, Rawa fine",100
186,Rice Flour,Staples (Flours & Grains),"Annam, TRS, Heera","Chawal ka atta, Rice powder",Arisi maavu,99
187,Bajra Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Pearl millet flour,Bajari,92
188,Jowar Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Sorghum flour,Jovar,100
189,Basmati Rice (Extra Long),Rice,"Tilda, India Gate, Daawat, Kohinoor, Akash, Laila","Long grain rice, Biryani rice, Aged rice","Basmathi, Bismati, Chawal",100
190,Sona Masoori Rice,Rice,"India Gate, 9Grains, Annam, Royal, TRS, Heera","South Indian rice, Short grain, Ponni","Sona Masuri, Masuri rice",93
191,Idli Rice,Rice,"Annam, TRS, Heera, Ponni","Short grain, Steamed rice","Idly rice, Arisi",89
192,Matta Rice,Rice,"Nirapara, Heera, Annam, Double Horse","Red rice, Kerala rice, Palakkadan",Mata rice,98
193,Poha (Thick),Rice,"TRS, Heera, Annam, Natco","Flattened rice, Beaten rice","Powwa, Aval, Atukulu",97
194,Poha (Thin),Rice,"TRS, Heera, Annam",Thin flattened rice,Pauwa thin,100
195,Toor Dal,Lentils & Pulses,"TRS, Heera, Annam, Chitalya, East End","Arhar dal, Split pigeon peas, Yellow lentils","Tur dal, Thoor, Thuvaram",72
196,Moong Dal (Yellow),Lentils & Pulses,"TRS, Heera, Annam, Chitalya","Split mung beans, Yellow mung","Mong dal, Mung",70
197,Chana Dal,Lentils & Pulses,"TRS, Heera, Annam, East End","Bengal gram, Split chickpeas","Channa dal, Kadalai paruppu",70
198,Urad Dal (White Gota),Lentils & Pulses,"TRS, Heera, Annam, Natco","Black gram whole, White urad","Urrad, Urid, Ulutham",89
199,Masoor Dal (Red),Lentils & Pulses,"TRS, Heera, Annam, East End",Red lentils split,"Masur dal, Mussoor",72
200,Kala Chana,Lentils & Pulses,"TRS, Heera, Annam",Black chickpeas whole,"Kala channa, Kadala",89
201,Kabuli Chana,Lentils & Pulses,"TRS, Heera, Annam","Chickpeas, Garbanzo beans","Chole, Channa",71
202,Rajma (Chitra),Lentils & Pulses,"TRS, Heera, Annam",Speckled kidney beans,Rajmah,92
203,Moong Whole,Lentils & Pulses,"TRS, Heera, Annam",Green gram whole,Moong sabut,88
204,Turmeric Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch, Shakti","Haldi, Curcumin","Tumeric, Haldee",75
205,Red Chili Powder,Spices & Masalas,"MDH, Everest, TRS, Shan, Catch","Mirch, Spicy powder, Lal mirch","Chilly, Chilli",79
206,Kashmiri Mirch Powder,Spices & Masalas,"Everest, MDH, TRS, Catch","Mild chili, Red color powder",Kashmiri chilli,91
207,Garam Masala,Spices & Masalas,"MDH, Everest, TRS, Shan, MTR, Badshah","Curry spice mix, Warm spice","Garam masla, Gharam",86
208,Coriander Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch",Dhaniya powder,"Coriender, Dhanya",90
209,Cumin Seeds,Spices & Masalas,"TRS, Heera, Annam, MDH",Jeera whole,"Zeera, Jera",93
210,Mustard Seeds (Black),Spices & Masalas,"TRS, Heera, Annam","Rai, Sarson","Musterd, Rai",77
211,Sambar Masala,Spices & Masalas,"MTR, Aachi, Everest, Eastern, 777",Sambar powder,"Sambhar, Sambar podi",88
212,Biryani Masala,Spices & Masalas,"Shan, MDH, Lucky, Everest, Ahmed",Biryani rice spice,"Biriyani, Briyani",72
213,Kitchen King Masala,Spices & Masalas,"MDH, Everest, Badshah",All purpose spice mix,Kitchen king,82
214,Chana Masala,Spices & Masalas,"MDH, Everest, Shan, Catch",Chole masala,Channa masala,71
215,Pav Bhaji Masala,Spices & Masalas,"Everest, MDH, Badshah",Bhaji spice,Paav bhaji,84
216,Chicken Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Poultry spice,Chiken masala,93
217,Meat Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Mutton/Meat spice,Meet masala,88
218,Aloo Bhujia,Snacks & Sweets,"Haldiram's, Bikano, Heera, Bikaji","Potato sev, Namkeen","Alu bhujia, Haldirams",60
219,Moong Dal Snack,Snacks & Sweets,"Haldiram's, Bikano, Bikaji",Fried moong lentils,Mung snack,46
220,Khatta Meetha,Snacks & Sweets,"Haldiram's, Bikano, Heera",Sweet and sour mix,Katta metha,51
221,Bhujia Sev,Snacks & Sweets,"Haldiram's, Bikaji, Bikano",Fine spicy sev,Bhujiya,67
222,Parle-G,Snacks & Sweets,Parle,Milk glucose biscuits,"Parleg, Parlay",75
223,Good Day Cashew,Snacks & Sweets,Britannia,Cashew butter cookies,Gud day,75
224,Hide & Seek,Snacks & Sweets,Parle,Chocolate chip cookies,Hide n seek,84
225,Marie Gold,Snacks & Sweets,Britannia,Tea biscuits,Mari gold,81
226,Bourbon Biscuits,Snacks & Sweets,"Britannia, Parle",Choco cream biscuits,Burbon,78
